article_title,page_size,num_watchers,num_edits,num_redirects,creation_date,last_edit_date,authors_in_last30,page_views_last30
Nic Henderson,"3,943",Fewer than 30 watchers,77,Yes,"01:25, 18 June 2009","23:55, 19 April 2017",0,84
Code generation (compiler),"6,607",47,242,2,"04:06, 27 February 2003","00:02, 17 February 2017",0,"3,088"
Suelette Dreyfus,"11,288",Fewer than 30 watchers,65,Yes,"05:16, 13 March 2011","15:45, 16 October 2017",0,282
K. K. S. S. R. Ramachandran,"1,738",Fewer than 30 watchers,53,Yes,"23:50, 2 July 2008","07:26, 12 May 2017",0,681
2011 Buffalo Bulls football team,"31,306",Fewer than 30 watchers,160,Yes,"22:11, 2 May 2011","01:53, 19 June 2017",0,125
Jenny Hirsch,"2,301",Fewer than 30 watchers,34,Yes,"20:25, 25 August 2010","17:03, 21 June 2017",0,57
Daejeon Green Growth Forum,"1,112",Fewer than 30 watchers,28,Yes,"10:59, 14 December 2008","05:10, 9 October 2017",0,44
Body of femur,"4,605",Fewer than 30 watchers,22,Yes,"16:55, 18 April 2006","11:03, 11 December 2015",0,420
Thanhha Lai,"6,053",Fewer than 30 watchers,92,Yes,"00:07, 18 November 2011","15:44, 12 January 2018",2,526
Brantôme-en-Périgord,"1,333",Fewer than 30 watchers,4,Yes,"10:47, 4 February 2016","08:35, 31 July 2017",0,59
List of AM radio stations in the United States by call sign (initial letters KA–KF),"28,679",Fewer than 30 watchers,668,Yes,"18:05, 6 September 2007","18:29, 21 January 2018",1,227
Magical Romance,"13,194",Fewer than 30 watchers,5,Yes,"12:43, 13 December 2015","12:48, 28 October 2017",0,43
Cirrha Niva,"8,191",Fewer than 30 watchers,25,Yes,"11:01, 28 January 2016","08:04, 13 June 2017",0,33
Jean Mercanton,"1,770",Fewer than 30 watchers,16,Yes,"23:18, 2 May 2015","03:06, 1 March 2017",0,45
Moses Levi Ehrenreich,"2,129",Fewer than 30 watchers,21,Yes,"17:00, 15 June 2007","11:09, 6 March 2017",0,74
Teddy Saunders,"2,500",Fewer than 30 watchers,34,Yes,"14:58, 15 March 2008","09:24, 6 April 2016",0,60
Ian North,"6,720",Fewer than 30 watchers,100,Yes,"05:21, 9 August 2008","03:50, 12 January 2018",1,183
Paul Zanetti,"2,215",Fewer than 30 watchers,76,Yes,"08:55, 29 November 2006","09:21, 14 January 2018",1,87
"Holy Hell: A Memoir of Faith, Devotion, and Pure Madness","3,224",Fewer than 30 watchers,19,Yes,"05:21, 2 April 2014","18:01, 31 August 2017",0,205
Manaco,"3,860",Fewer than 30 watchers,12,Yes,"19:57, 28 February 2009","13:52, 14 December 2017",0,330
Sports in Albania,"11,192",Fewer than 30 watchers,21,Yes,"22:31, 5 October 2005","00:31, 5 January 2018",1,433
Agyneta iranica,641,Fewer than 30 watchers,9,Yes,"17:31, 28 November 2014","08:20, 30 December 2017",1,21
Orvosi Hetilap,"1,315",Fewer than 30 watchers,20,Yes,"09:36, 25 June 2008","05:26, 30 December 2016",0,72
Valdevacas y Guijar,"1,532",Fewer than 30 watchers,21,Yes,"06:54, 9 September 2007","05:09, 14 January 2018",1,71
Yuan Hua (judoka),"2,968",Fewer than 30 watchers,32,Yes,"22:28, 15 July 2008","05:31, 22 July 2017",0,81
"St Nicholas Church, Harpenden","3,520",Fewer than 30 watchers,50,Yes,"17:23, 18 June 2006","17:17, 6 January 2018",1,949
The World's Desire,"26,475",Fewer than 30 watchers,81,Yes,"06:48, 7 December 2005","16:05, 24 November 2017",0,317
Maciej Lewenstein,"12,918",Fewer than 30 watchers,37,Yes,"11:08, 13 April 2015","13:36, 11 January 2018",1,177
"Podjałówka, Białystok County","1,322",Fewer than 30 watchers,10,Yes,"03:16, 29 July 2008","13:37, 17 September 2013",0,40
"Oakville, New South Wales","1,942",Fewer than 30 watchers,35,Yes,"05:05, 31 August 2005","06:23, 11 June 2017",0,219
Lebanon at the 1984 Winter Olympics,"2,636",Fewer than 30 watchers,24,Yes,"00:12, 3 November 2006","08:11, 11 December 2017",0,84
The Desperate Mind,"12,558",Fewer than 30 watchers,51,Yes,"22:10, 13 September 2017","12:03, 16 January 2018",2,150
Glenea atricilla,715,Fewer than 30 watchers,4,Yes,"08:18, 15 March 2017","01:18, 29 September 2017",0,25
CX 46 Radio América,"1,267",Fewer than 30 watchers,8,Yes,"13:47, 9 April 2013","16:45, 29 February 2016",0,35
List of Oricon number-one albums of 1994,"3,332",Fewer than 30 watchers,2,Yes,"17:33, 22 April 2014","19:25, 6 December 2014",0,53
"Cold Stream, West Virginia","3,935",Fewer than 30 watchers,31,Yes,"17:03, 25 September 2005","23:15, 13 January 2018",1,46
PAC-1,"13,257",Fewer than 30 watchers,91,Yes,"00:51, 14 December 2006","09:56, 1 December 2017",0,409
Andri Rúnar Bjarnason,"9,482",Fewer than 30 watchers,40,Yes,"18:44, 20 September 2017","16:18, 20 January 2018",10,"2,089"
Avro Lancaster,"97,747",140,"1,860",20,"00:37, 3 January 2003","20:32, 18 January 2018",8,"38,438"
David Graham (Irish cricketer),"1,109",Fewer than 30 watchers,13,Yes,"13:20, 14 April 2007","09:19, 2 September 2016",0,61
Carlos Brito (politician),"2,238",Fewer than 30 watchers,66,Yes,"15:08, 20 January 2006","08:19, 16 September 2017",0,54
Hannah Mitchell,"11,475",Fewer than 30 watchers,44,Yes,"23:28, 3 September 2009","01:07, 6 November 2017",0,415
Hua Hill,"11,821",Fewer than 30 watchers,58,Yes,"01:38, 14 September 2008","03:08, 17 November 2017",0,96
The Uprising,"3,062",Fewer than 30 watchers,25,Yes,"13:58, 14 October 2009","04:34, 30 December 2016",0,86
Hollister riot,"17,435",Fewer than 30 watchers,185,Yes,"04:42, 9 March 2005","03:50, 23 October 2017",0,"3,360"
Dorsennus,"2,164",Fewer than 30 watchers,40,Yes,"00:38, 3 April 2005","09:22, 1 January 2016",0,74
Per Meinich,"1,629",Fewer than 30 watchers,9,Yes,"23:17, 9 January 2011","02:30, 8 September 2017",0,33
She (Tommy James and the Shondells song),"1,440",Fewer than 30 watchers,8,Yes,"00:33, 18 August 2012","19:57, 21 January 2018",1,142
"2002 Asian Athletics Championships – Women's 10,000 metres","1,485",Fewer than 30 watchers,6,Yes,"08:50, 2 November 2013","05:22, 17 June 2017",0,30
Frank Salemme,"8,616",Fewer than 30 watchers,243,Yes,"06:53, 17 December 2005","18:52, 8 January 2018",1,"3,428"
Vaga (Tunisia),"14,049",Fewer than 30 watchers,51,Yes,"22:22, 18 August 2015","19:55, 9 August 2017",0,141
Montenegrin Cup (women),"2,618",Fewer than 30 watchers,27,Yes,"12:51, 18 August 2016","10:19, 30 April 2017",0,154
Alyaksandr Rayewski,"1,774",Fewer than 30 watchers,26,Yes,"20:10, 26 June 2009","10:45, 26 December 2017",1,39
Bill Lacy,"2,906",Fewer than 30 watchers,41,Yes,"04:17, 7 October 2006","07:34, 20 July 2017",0,62
2015–16 New York Rangers season,"68,362",Fewer than 30 watchers,406,Yes,"20:59, 3 June 2015","04:39, 11 December 2017",0,448
Dictyostelid,"11,399",Fewer than 30 watchers,167,Yes,"20:53, 24 May 2003","01:48, 12 November 2017",0,561
Sergio Jadue,"5,809",Fewer than 30 watchers,35,Yes,"22:25, 4 December 2015","17:45, 30 August 2017",0,142
Hanumanakatte,"2,731",Fewer than 30 watchers,33,Yes,"09:06, 22 March 2011","00:44, 20 March 2017",0,35
Iriya Station (Tokyo),"2,603",Fewer than 30 watchers,28,Yes,"06:32, 1 March 2010","15:51, 13 November 2017",0,187
Ragbi klub Nikšić,"2,671",Fewer than 30 watchers,14,Yes,"15:59, 18 March 2014","13:05, 3 June 2017",0,25
At What Cost,"7,205",Fewer than 30 watchers,73,Yes,"08:50, 18 March 2017","11:54, 8 January 2018",1,"6,232"
Punta San Juan Airport,"2,675",Fewer than 30 watchers,2,Yes,"05:16, 6 March 2016","03:43, 5 December 2016",0,68
Bruce Ducker,"3,296",Fewer than 30 watchers,80,Yes,"14:50, 13 October 2006","17:53, 7 January 2018",1,65
John Kennedy (Manitoba politician),"2,752",Fewer than 30 watchers,22,Yes,"22:10, 28 July 2005","22:42, 1 September 2017",0,47
1992 Lion Cup,"12,648",Fewer than 30 watchers,4,Yes,"17:34, 24 November 2013","17:50, 6 November 2017",0,50
Kostiantyn Matsiyevych,"4,558",Fewer than 30 watchers,18,Yes,"17:35, 11 January 2015","11:45, 8 August 2017",0,23
The Hit Men,"1,798",Fewer than 30 watchers,30,Yes,"11:10, 7 October 2005","20:27, 20 May 2016",0,64
"Beilstein, Rhineland-Palatinate","14,062",Fewer than 30 watchers,42,Yes,"13:44, 19 July 2007","21:15, 28 May 2017",0,233
Pedro Manuel da Silva Moreira,"2,684",Fewer than 30 watchers,61,Yes,"21:34, 27 June 2009","21:37, 6 January 2018",1,196
Espumas Flutuantes,"1,831",Fewer than 30 watchers,13,Yes,"18:56, 14 August 2010","19:55, 16 May 2017",0,74
Gamelioides,732,Fewer than 30 watchers,6,Yes,"13:54, 20 February 2012","21:01, 28 September 2017",0,28
Yurina Hiraka,"1,979",Fewer than 30 watchers,7,Yes,"14:21, 18 February 2014","22:55, 7 August 2016",0,38
Arolla Glacier,"2,370",Fewer than 30 watchers,21,Yes,"20:41, 28 September 2008","21:35, 16 January 2018",1,74
International Gendarmerie,"22,769",Fewer than 30 watchers,130,Yes,"14:35, 11 February 2011","17:58, 2 November 2017",0,200
Société entomologique de France,"1,833",Fewer than 30 watchers,42,Yes,"16:23, 18 October 2005","07:26, 13 January 2018",1,104
Matteo Fedele,"3,046",Fewer than 30 watchers,23,Yes,"21:38, 21 August 2014","21:50, 24 November 2017",0,128
"Xishui County, Hubei","7,984",Fewer than 30 watchers,49,Yes,"18:43, 19 February 2006","19:44, 17 January 2018",4,179
Kangolabad,"1,931",Fewer than 30 watchers,5,Yes,"23:21, 10 September 2013","02:17, 22 March 2017",0,22
Charnali railway station,"2,118",Fewer than 30 watchers,12,Yes,"13:53, 29 October 2014","19:16, 3 August 2017",0,32
Franklin Graham,"30,276",74,740,1,"15:06, 12 August 2003","08:43, 21 January 2018",1,"20,731"
Mr. Fix-It,"4,684",Fewer than 30 watchers,49,Yes,"17:11, 20 July 2011","22:30, 6 January 2018",1,79
"Dana Meadows,Kaghan","1,358",Fewer than 30 watchers,14,Yes,"11:08, 19 January 2018","12:20, 21 January 2018",3,10
Clark Gracie,"4,531",Fewer than 30 watchers,54,Yes,"22:37, 23 August 2013","14:27, 10 January 2018",1,"2,416"
Luke Garrett,"1,846",Fewer than 30 watchers,21,Yes,"13:23, 7 March 2016","13:52, 22 September 2017",0,146
Tim May,"6,131",Fewer than 30 watchers,91,Yes,"05:16, 16 September 2005","19:51, 30 December 2017",1,"1,292"
1 Corinthians 5,"6,093",Fewer than 30 watchers,11,Yes,"22:17, 16 February 2015","07:08, 25 March 2017",0,503
MBA Games,"5,671",Fewer than 30 watchers,57,Yes,"02:30, 12 January 2012","00:47, 11 January 2018",2,450
Mechanical and Chemical Industry Corporation,"4,204",Fewer than 30 watchers,64,Yes,"19:12, 7 March 2007","13:54, 13 December 2017",0,"1,109"
Jordan Park,"5,711",Fewer than 30 watchers,50,Yes,"15:42, 29 July 2007","22:34, 20 January 2018",1,234
One by One,"2,591",Fewer than 30 watchers,37,Yes,"06:32, 23 September 2006","20:21, 24 November 2017",0,211
Future Classic,"3,316",Fewer than 30 watchers,103,Yes,"07:52, 23 July 2013","11:04, 14 January 2018",2,"1,204"
"Printers Devil, Bristol","1,370",Fewer than 30 watchers,23,Yes,"11:14, 9 May 2007","12:22, 4 February 2017",0,121
William Guthrie Packard,"2,730",Fewer than 30 watchers,38,Yes,"03:30, 9 December 2006","21:03, 9 October 2017",0,47
Munster Minor Hurling Championship,"23,675",Fewer than 30 watchers,180,Yes,"14:42, 20 July 2007","23:27, 26 July 2017",0,150
Horsfieldia discolor,"1,143",Fewer than 30 watchers,17,Yes,"02:34, 22 August 2007","03:18, 12 April 2017",0,38
"Tolland, New South Wales","1,798",Fewer than 30 watchers,34,Yes,"04:57, 2 January 2006","10:58, 27 June 2017",0,113
Lepidochrysops labwor,"1,179",Fewer than 30 watchers,6,Yes,"12:21, 17 July 2012","21:33, 14 November 2016",0,31
Blueprint for Disaster,"7,539",Fewer than 30 watchers,147,Yes,"19:34, 1 February 2007","19:06, 22 January 2018",1,"1,219"
Mezzano,"4,418",Fewer than 30 watchers,50,Yes,"10:27, 19 August 2006","21:01, 23 December 2017",0,142
Daniel Serra (swimmer),"1,212",Fewer than 30 watchers,2,Yes,"19:41, 20 March 2017","19:43, 20 March 2017",0,18
Ugo-Ushijima Station,"2,838",Fewer than 30 watchers,24,Yes,"02:34, 3 November 2006","17:56, 22 September 2017",0,28
Edward Pietrzyk,"4,284",Fewer than 30 watchers,71,Yes,"05:03, 27 May 2005","13:44, 30 December 2017",1,84
1935 in Scotland,"6,516",Fewer than 30 watchers,61,Yes,"22:04, 14 May 2013","05:09, 21 September 2017",0,93
Rodziah Ismail,"3,131",Fewer than 30 watchers,32,Yes,"06:55, 19 October 2010","15:13, 10 October 2017",0,76
William Axton Stokes,"2,947",Fewer than 30 watchers,34,Yes,"21:35, 16 August 2007","18:57, 17 January 2017",0,64
Nils Erik Bæhrendtz,"7,734",Fewer than 30 watchers,64,Yes,"09:25, 3 September 2011","15:24, 24 August 2017",0,37
Ayit Aviation and Tourism,"2,526",Fewer than 30 watchers,52,Yes,"21:27, 14 January 2008","15:25, 7 January 2018",1,462
"Dahleh, Lorestan","1,871",Fewer than 30 watchers,5,Yes,"22:27, 28 November 2011","02:45, 16 March 2017",0,26
History of Valencia,"51,658",Fewer than 30 watchers,50,Yes,"16:07, 16 October 2016","14:07, 19 December 2017",0,848
Mekmek language,492,Fewer than 30 watchers,12,Yes,"12:11, 5 August 2011","23:42, 21 October 2015",0,57
Der Angriff,"5,380",Fewer than 30 watchers,77,Yes,"21:48, 13 October 2006","23:58, 7 November 2017",0,"1,219"
Judel Del,"1,833",Fewer than 30 watchers,4,Yes,"22:25, 12 January 2012","14:38, 21 March 2017",0,26
Marjorie W. Sharmat,"11,675",Fewer than 30 watchers,104,Yes,"00:57, 6 June 2006","12:42, 27 August 2017",0,252
Ethem Necdet Karabudak,"2,281",Fewer than 30 watchers,19,Yes,"05:13, 5 October 2011","03:13, 9 October 2017",0,35
Salvia purpurea,"1,594",Fewer than 30 watchers,15,Yes,"21:53, 18 February 2009","10:13, 23 October 2016",0,66
List of prions,"3,201",Fewer than 30 watchers,11,Yes,"04:33, 15 February 2009","13:34, 28 September 2017",0,59
Philippe Saunier,"3,201",Fewer than 30 watchers,56,Yes,"12:14, 18 February 2016","11:30, 29 June 2017",0,47
Gmina Ożarowice,"2,158",Fewer than 30 watchers,22,Yes,"16:23, 7 January 2008","22:52, 18 March 2017",0,55
"Turkish presidential election, 1973","3,433",Fewer than 30 watchers,29,Yes,"11:18, 8 June 2015","12:37, 3 December 2017",0,79
Just Like You Imagined,"5,266",Fewer than 30 watchers,96,Yes,"20:50, 10 October 2006","07:42, 21 October 2017",0,493
The Boat Race 2013,"15,330",Fewer than 30 watchers,79,Yes,"06:55, 20 April 2014","15:51, 13 October 2017",0,142
Double Trouble,"13,112",Fewer than 30 watchers,53,Yes,"08:39, 30 August 2008","04:33, 9 January 2018",1,766
"Volksgarten, Cologne","2,275",Fewer than 30 watchers,20,Yes,"18:14, 15 January 2015","16:52, 16 August 2017",0,38
Shawn Ryan,"5,792",Fewer than 30 watchers,215,Yes,"19:29, 8 August 2005","20:47, 7 January 2018",1,"4,060"
Cryptanthus praetextus,805,Fewer than 30 watchers,5,Yes,"12:32, 2 December 2009","16:11, 26 May 2015",0,37
Vasco Creti,"2,613",Fewer than 30 watchers,56,Yes,"13:40, 11 September 2010","10:23, 30 October 2016",0,42
Triglidae,"5,527",Fewer than 30 watchers,201,Yes,"02:36, 21 June 2005","11:11, 28 December 2017",1,"2,459"
"Ottawa municipal election, 1935","6,752",Fewer than 30 watchers,9,Yes,"16:32, 5 August 2010","02:15, 16 March 2016",0,26
Takahiro Hosokawa,"1,861",Fewer than 30 watchers,15,Yes,"23:05, 23 November 2009","17:29, 16 August 2017",0,48
It,"34,937",147,"3,467",8,"00:43, 29 May 2004","22:36, 21 January 2018",24,"120,717"
Essonne's 4th constituency,"5,360",Fewer than 30 watchers,8,Yes,"09:12, 14 August 2014","08:53, 18 December 2017",0,37
Kelly Karbacz,"4,963",Fewer than 30 watchers,89,Yes,"07:06, 26 June 2008","04:29, 8 December 2017",0,"1,531"
"Aq Kahriz, Markazi","1,816",Fewer than 30 watchers,5,Yes,"19:27, 7 January 2013","23:09, 11 March 2017",0,31
"Haidarabad, Bangladesh","5,465",Fewer than 30 watchers,13,Yes,"16:22, 26 November 2015","20:57, 19 March 2017",0,76
Electoral district of Western Boroughs,"1,184",Fewer than 30 watchers,15,Yes,"07:23, 11 April 2007","10:21, 5 January 2018",1,63
Canton of Chalonnes-sur-Loire,"1,308",Fewer than 30 watchers,5,Yes,"19:12, 2 May 2017","15:10, 23 October 2017",0,19
Tatana Island,970,Fewer than 30 watchers,3,Yes,"05:19, 4 December 2017","06:05, 10 January 2018",1,"1,151"
Oasis Hong Kong Airlines,"14,100",35,"1,043",8,"16:16, 18 July 2005","00:52, 7 September 2017",0,739
Marinobacterium zhoushanense,"2,061",Fewer than 30 watchers,2,Yes,"06:49, 3 January 2018","19:26, 6 January 2018",2,21
1971–72 Kentucky Wildcats men's basketball team,"1,895",Fewer than 30 watchers,15,Yes,"17:07, 21 April 2014","04:06, 20 December 2017",0,58
Duffy Conroy,"2,681",Fewer than 30 watchers,22,Yes,"06:31, 31 October 2010","18:29, 23 August 2017",0,85
The Fixer Uppers,"3,171",Fewer than 30 watchers,64,Yes,"19:52, 16 November 2006","23:48, 22 March 2017",0,328
Hungarian raid in Spain (942),"16,673",Fewer than 30 watchers,25,Yes,"02:12, 26 March 2016","03:40, 23 November 2017",0,295
To Mega Therion,"6,295",Fewer than 30 watchers,307,Yes,"19:11, 28 April 2003","19:54, 22 October 2017",0,"3,733"
Rilly-Sainte-Syre,"1,376",Fewer than 30 watchers,45,Yes,"17:04, 26 January 2008","16:02, 4 July 2017",0,46
Barium hydroxide,"10,680",Fewer than 30 watchers,251,Yes,"06:40, 17 April 2004","07:50, 12 December 2017",0,"4,530"
Ice hockey at the 2017 Asian Winter Games – Women's team rosters,"2,374",Fewer than 30 watchers,8,Yes,"17:20, 11 February 2017","14:23, 18 March 2017",0,44
Battle of Ayacucho,"45,000",Fewer than 30 watchers,389,Yes,"16:26, 26 May 2005","06:07, 10 January 2018",1,"2,149"
White County Central School District,"2,809",Fewer than 30 watchers,9,Yes,"02:27, 24 December 2012","16:38, 15 October 2017",0,78
All Dogs Go to Heaven: The Series,"13,727",Fewer than 30 watchers,638,Yes,"18:20, 25 February 2006","02:02, 15 January 2018",3,"2,967"
Gymnastics at the 2015 European Games – Men's floor exercise,"6,027",Fewer than 30 watchers,2,Yes,"17:46, 11 July 2015","18:14, 9 September 2015",0,25
"Russian Orthodox Church, Tunis","5,945",Fewer than 30 watchers,15,Yes,"10:17, 25 April 2015","21:27, 13 January 2018",1,63
Brian Anderson (third baseman),"5,158",Fewer than 30 watchers,19,Yes,"18:22, 31 October 2016","00:50, 17 December 2017",0,244
Mansur Batyrov,"1,494",Fewer than 30 watchers,4,Yes,"18:26, 26 June 2015","15:36, 14 November 2016",0,20
William C. Nell House,"6,641",Fewer than 30 watchers,51,Yes,"23:19, 9 April 2008","04:42, 31 August 2017",0,64
Dusty Sklar,"1,453",Fewer than 30 watchers,32,Yes,"19:17, 9 November 2012","09:11, 24 August 2017",0,135
Kaerepere,"1,485",Fewer than 30 watchers,14,Yes,"21:06, 9 July 2008","05:35, 1 May 2017",0,98
Poznań Krzesiny railway station,"2,784",Fewer than 30 watchers,5,Yes,"10:07, 27 July 2016","17:57, 9 August 2016",0,28
"Hrastovac, Bosnia and Herzegovina","2,277",Fewer than 30 watchers,9,Yes,"20:35, 16 August 2010","16:21, 5 December 2017",0,27
SpursEngine,"6,435",Fewer than 30 watchers,36,Yes,"18:50, 23 October 2007","00:02, 15 September 2017",0,205
Bobby Joe Edmonds,"2,802",Fewer than 30 watchers,56,Yes,"03:57, 11 February 2007","16:17, 26 December 2017",1,144
Takashi Taguchi (handballer),930,Fewer than 30 watchers,6,Yes,"12:22, 15 July 2012","22:58, 25 December 2016",0,31
Lesseux,"1,303",Fewer than 30 watchers,37,Yes,"02:35, 24 February 2008","09:03, 5 July 2017",0,51
Harry Field (rugby league),"5,699",Fewer than 30 watchers,53,Yes,"11:01, 22 April 2009","15:45, 27 December 2017",1,38
Myjava Hills,856,Fewer than 30 watchers,7,Yes,"06:29, 10 August 2011","09:29, 9 July 2017",0,45
Lyndon Amick,"30,264",Fewer than 30 watchers,72,Yes,"22:14, 26 April 2006","04:11, 14 September 2017",0,168
C,231,Fewer than 30 watchers,9,Yes,"14:35, 24 December 2008","23:55, 10 March 2013",0,38
Oxaloacetate decarboxylase,"3,249",Fewer than 30 watchers,21,Yes,"02:33, 26 June 2006","17:03, 7 September 2017",0,144
Legislative districts of Ambos Camarines,"6,120",Fewer than 30 watchers,19,Yes,"11:14, 24 September 2006","18:47, 28 November 2017",0,69
2010 UEFA European Under-19 Championship squads,"24,982",Fewer than 30 watchers,107,Yes,"15:09, 10 July 2010","22:46, 30 December 2016",0,503
Pyle,"9,514",Fewer than 30 watchers,168,Yes,"13:21, 27 November 2005","21:48, 8 December 2017",0,683
AGO C.IV,"7,427",Fewer than 30 watchers,37,Yes,"23:45, 28 March 2007","05:30, 17 December 2017",0,139
Red Field,"3,551",Fewer than 30 watchers,33,Yes,"16:12, 28 April 2004","05:39, 31 December 2017",2,85
Oberhoffen-sur-Moder,"2,204",Fewer than 30 watchers,49,Yes,"15:40, 22 August 2007","16:13, 29 June 2017",0,157
Owl River (Manitoba),"4,210",Fewer than 30 watchers,11,Yes,"21:59, 6 July 2012","17:00, 7 September 2017",0,69
Aqueduct (water supply),"23,130",31,147,3,"03:25, 16 February 2013","04:09, 6 January 2018",1,"6,823"
Puhua International Hospital and Clinics,"8,399",Fewer than 30 watchers,50,Yes,"06:13, 14 May 2012","14:49, 26 April 2017",0,99
The City Slicker,"2,053",Fewer than 30 watchers,26,Yes,"18:26, 19 November 2007","05:07, 20 December 2017",0,98
Eballistra oryzae,926,Fewer than 30 watchers,20,Yes,"23:44, 30 May 2007","13:23, 16 September 2017",0,70
Dactylopteriformes,"3,959",Fewer than 30 watchers,15,Yes,"19:44, 17 May 2011","07:29, 14 October 2017",0,31
Abdul Faisal,"2,318",Fewer than 30 watchers,10,Yes,"17:39, 29 July 2012","04:09, 25 June 2017",0,64
Borkow,"1,195",Fewer than 30 watchers,38,Yes,"18:23, 11 September 2007","09:25, 20 January 2017",0,82
Manipulation of atoms by optical field,"1,245",Fewer than 30 watchers,40,Yes,"23:05, 16 February 2008","21:03, 9 June 2015",0,55
1982 Topps,"9,128",Fewer than 30 watchers,98,Yes,"23:55, 21 December 2006","04:32, 24 May 2017",0,53
Backobourkia,923,Fewer than 30 watchers,4,Yes,"00:37, 16 January 2017","18:48, 27 July 2017",0,72
Test light,"11,922",Fewer than 30 watchers,132,Yes,"12:43, 17 November 2005","20:41, 15 October 2017",0,"5,830"
Master Cutler (train),"9,101",Fewer than 30 watchers,94,Yes,"21:15, 1 September 2006","21:37, 21 January 2018",4,453
Della Penna Motorsports,"21,957",Fewer than 30 watchers,2,Yes,"22:30, 3 October 2017","18:41, 26 December 2017",1,128
Kota Kinabalu Wetland Centre,"3,980",Fewer than 30 watchers,44,Yes,"02:06, 7 June 2008","07:57, 29 September 2017",0,250
Botniaring Racing Circuit,"1,456",Fewer than 30 watchers,10,Yes,"09:31, 7 December 2007","20:57, 17 March 2013",0,125
Léon Augustin Lhermitte,"4,589",Fewer than 30 watchers,42,Yes,"22:17, 15 September 2007","06:13, 16 December 2017",0,399
Wapusk National Park,"5,266",Fewer than 30 watchers,139,Yes,"02:15, 11 June 2005","12:40, 2 January 2018",1,"2,656"
John Finlay (poet),"3,062",Fewer than 30 watchers,19,Yes,"20:33, 20 May 2011","10:33, 29 October 2016",0,55
Tarka Line,"9,286",Fewer than 30 watchers,117,Yes,"22:43, 5 February 2005","22:40, 12 January 2018",1,900
Hemicrepidius tonkinensis,"1,265",Fewer than 30 watchers,5,Yes,"02:47, 8 September 2014","15:22, 31 March 2017",0,24
Senegalia senegal,"6,509",Fewer than 30 watchers,159,Yes,"22:09, 2 July 2005","23:26, 24 November 2017",0,"1,248"
Marionettes of Desire,"1,305",Fewer than 30 watchers,3,Yes,"17:40, 15 December 2015","03:36, 13 August 2017",0,43
Goose Hill Road Historic District,"1,907",Fewer than 30 watchers,14,Yes,"16:44, 13 March 2010","22:14, 25 July 2017",0,22
Mesud I,"3,361",Fewer than 30 watchers,87,Yes,"11:40, 27 June 2004","23:41, 14 March 2017",0,522
Church of St. Louis of the French (Moscow),"7,590",Fewer than 30 watchers,10,Yes,"19:01, 6 October 2016","22:41, 5 May 2017",0,98
1913 Massacre,"10,265",Fewer than 30 watchers,129,Yes,"00:09, 2 March 2008","07:19, 10 January 2018",1,"1,216"
Jan Carew,"18,748",Fewer than 30 watchers,120,Yes,"19:59, 30 May 2006","23:47, 27 November 2017",0,395
Enemies Foreign,"12,716",Fewer than 30 watchers,51,Yes,"01:32, 19 May 2013","15:17, 7 October 2017",0,587
1926 LSU Tigers football team,"4,593",Fewer than 30 watchers,29,Yes,"14:40, 11 July 2014","03:24, 21 November 2017",0,41
Mitrulinia,"1,062",Fewer than 30 watchers,12,Yes,"03:30, 21 April 2009","16:30, 2 November 2014",0,34
List of telenovelas of Televisa in 1960s,"62,265",Fewer than 30 watchers,17,Yes,"05:27, 13 June 2015","18:36, 23 May 2017",0,391
Hadur,"2,611",Fewer than 30 watchers,9,Yes,"12:42, 10 August 2009","12:07, 5 December 2017",0,55
Ray Crozier,"1,328",Fewer than 30 watchers,9,Yes,"15:11, 25 April 2015","06:53, 13 November 2017",0,33
Mukhalinga,"11,872",Fewer than 30 watchers,64,Yes,"12:49, 1 July 2014","19:24, 19 December 2017",0,"1,044"
FIS Alpine World Ski Championships 2007,"22,011",Fewer than 30 watchers,259,Yes,"12:26, 23 April 2006","02:37, 27 September 2017",0,534
Jorge Guinzburg,"5,143",Fewer than 30 watchers,118,Yes,"02:02, 13 March 2008","18:32, 12 November 2017",0,159
Reuben Sallmander,"2,215",Fewer than 30 watchers,27,Yes,"03:15, 18 December 2007","11:49, 15 September 2017",0,469
Ray McDonald,"13,319",Fewer than 30 watchers,260,Yes,"03:14, 29 April 2007","17:58, 16 December 2017",0,"2,135"
Cleopatra World Tour,"25,526",Fewer than 30 watchers,19,Yes,"01:56, 18 January 2018","14:38, 21 January 2018",5,65
Astra Blair,"3,893",Fewer than 30 watchers,42,Yes,"20:02, 19 November 2007","15:29, 27 May 2017",0,72
Joe Hisbent,"5,078",Fewer than 30 watchers,20,Yes,"17:47, 5 August 2015","21:04, 11 November 2017",0,19
"Burr Oak, Marshall County, Indiana","3,631",Fewer than 30 watchers,28,Yes,"22:35, 10 August 2006","19:43, 27 July 2017",0,45
Captive Andromache,"1,579",Fewer than 30 watchers,26,Yes,"02:45, 2 January 2016","12:02, 25 September 2017",0,88
Centre for Gender Equality,"1,389",Fewer than 30 watchers,9,Yes,"12:24, 20 December 2011","13:05, 25 August 2017",0,80
Dream,"2,614",Fewer than 30 watchers,14,Yes,"19:45, 29 October 2016","20:27, 12 November 2016",0,62
"Mount Waverley, Victoria","12,563",Fewer than 30 watchers,376,Yes,"05:15, 25 April 2004","10:28, 29 December 2017",2,"1,295"
